date,open,high,low,close,volume,symbol,section,sentence,agent_prob_pos,agent_prob_neg,agent_prob_neu,sentiment_intensity,reasoning,bert_pred_label,bert_prob_neu,bert_prob_pos,bert_prob_neg,bert_sentiment,agent_sentiment,sentiment,sentiment_divergence,avg_sentiment,std_sentiment,avg_pos,avg_neg,max_pos,max_neg,news_count,net_sentiment,direction,return
2019-09-16 14:00:00,52.08,52.17,52.04,52.135,429676,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0
2019-09-16 14:30:00,52.135,52.16,52.0506,52.14,512434,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0095904862376539
2019-09-16 15:00:00,52.14,52.19,52.09,52.12,644665,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,-0.038358266206373
2019-09-16 15:30:00,52.12,52.28,52.105,52.22,1823107,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.1918649270913341
2019-09-17 09:30:00,51.93,51.93,51.35,51.4342,2915678,INTC,Tech,"Apple takes its $14 billion tax fight with the EU to court. Representatives from Apple, Ireland and the European Commission argued in hearings at the EU General Court in Luxembourg on Tuesday.  In August 2016, the EU ordered Apple to pay back 13 billion euros ($14.3 billion) in taxes to Ireland, saying the company had received ""illegal"" tax benefits over the course of two decades. Apple and Ireland are appealing the EU order. The hearings are expected to last through Wednesday, but a decision likely won't be reached for months.",0.0,0.0,1.0,0.0,Apple 對 EU 的訴訟可能對 Intel 敏感，尤其是 PC cycle 影響，但整體來說仍處於穩定的資金流核心之下。,0.0,0.5434735617853178,0.1617772644042033,0.2947491738104789,-0.1329719094062755,0.0,-0.0797831456437653,0.1329719094062755,-0.0797831456437653,,0.1617772644042033,0.2947491738104789,0.1617772644042033,0.2947491738104789,1.0,-0.0664859547031377,無,-1.5047874377633108
2019-09-17 10:00:00,51.435,51.67,51.41,51.59,1587724,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.3029112924863408
2019-09-17 10:30:00,51.59,51.64,51.52,51.6073,819178,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0335336305485434
2019-09-17 11:00:00,51.61,51.82,51.61,51.76,1224258,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.2958883723814143
2019-09-17 11:30:00,51.75,51.86,51.72,51.767,1055163,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.013523956723338
2019-09-17 12:00:00,51.77,51.7939,51.665,51.71,918352,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,-0.1101087565437475
2019-09-17 12:30:00,51.71,51.72,51.63,51.715,562708,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0096693096113043
2019-09-17 13:00:00,51.715,51.82,51.71,51.75,563811,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0676786232234327
2019-09-17 13:30:00,51.75,51.97,51.73,51.9,714921,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.2898550724637738
2019-09-17 14:00:00,51.91,51.97,51.76,51.775,742750,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,-0.240847784200382
2019-09-17 14:30:00,51.78,51.845,51.77,51.825,2076350,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0965717044906
2019-09-17 15:00:00,51.83,51.93,51.8,51.8907,1854840,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.1267727930535533
2019-09-17 15:30:00,51.89,52.03,51.88,51.95,2626976,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.1142786665047967
2019-09-17 17:30:00,51.93,51.93,51.35,51.4342,2915678,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,-0.992877767083744
2019-09-17 18:00:00,51.435,51.67,51.41,51.59,1587724,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.3029112924863408
2019-09-17 18:30:00,51.59,51.64,51.52,51.6073,819178,INTC,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,無,0.0335336305485434
